id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Gertrude;Beier;Zachariah13@hotmail.com;reconfigure attack spherical;2024-02-21T00:48:16;16816;21035
2;Emmy;Veum;Antwan36@gmail.com;kindheartedly;2024-02-20T15:24:41;26177;20671
3;Ike;Jenkins;Romaine.Jast86@gmail.com;claim qua live;2024-02-20T12:02:35;8209;10886
4;Amina;Goodwin;Hosea93@gmail.com;mysteriously;2024-02-20T14:03:52;8947;30122
5;Antwon;Monahan;Elizabeth.Grimes-Abernathy5@gmail.com;hearten;2024-02-20T23:42:37;13250;2757
6;Tia;Emard;Uriah_Gusikowski47@hotmail.com;well haze slight;2024-02-21T06:40:06;15267;2647
7;Delfina;Conn;Emmalee95@yahoo.com;athwart athwart;2024-02-20T10:45:07;4545;31386
8;Oswaldo;Zemlak;Colby.Jast@gmail.com;although wrongly;2024-02-20T10:51:50;28027;30676
9;Peyton;Rodriguez;Victor.Botsford89@yahoo.com;default;2024-02-21T03:26:10;5138;5603
10;Magnus;Kertzmann;Mike1@hotmail.com;typecast off;2024-02-20T21:07:42;7278;6239
